,Event,R,Rn,Ry
0,AVG.ARITH.FPU_DIV,0.9331218609569125,1.0,0.9233565586186004
1,AVG.ARITH.FPU_DIV_ACTIVE,0.9199048374306106,1.0,0.9082096334444107
2,AVG.BACLEARS.ANY,0.9965635738831615,1.0,0.9960617994547107
3,AVG.BR_INST_EXEC.ALL_BRANCHES,0.6346814697330161,0.46887966804979253,0.6588912450772493
4,AVG.BR_INST_EXEC.ALL_CONDITIONAL,0.669045730901401,0.491701244813278,0.6949409269918206
5,AVG.BR_INST_EXEC.ALL_DIRECT_JMP,0.7594501718213058,0.7406639004149378,0.7621932747652227
6,AVG.BR_INST_EXEC.ALL_DIRECT_NEAR_CALL,0.9122389637853555,1.0,0.8994244168433808
7,AVG.BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET,0.9965635738831615,1.0,0.9960617994547107
8,AVG.BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN,0.9135606661379857,1.0,0.9009391093607998
9,AVG.BR_INST_EXEC.NONTAKEN_CONDITIONAL,0.6677240285487708,0.495850622406639,0.6928203574674341
10,AVG.BR_INST_EXEC.TAKEN_CONDITIONAL,0.9325931800158604,0.9087136929460581,0.9360799757649197
11,AVG.BR_INST_EXEC.TAKEN_DIRECT_JUMP,0.8527623579169971,0.9543568464730291,0.8379279006361708
12,AVG.BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL,0.9093312186095691,1.0,0.8960920933050591
13,AVG.BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,0.9960348929421095,1.0,0.9954559224477431
14,AVG.BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL,0.528416600581549,1.0,0.45955770978491367
15,AVG.BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN,0.9172614327253502,1.0,0.9051802484095729
16,AVG.BR_INST_RETIRED.ALL_BRANCHES,0.6225218080888184,0.4605809128630705,0.64616782793093
17,AVG.BR_INST_RETIRED.ALL_BRANCHES_PEBS,0.6349458102035421,0.46473029045643155,0.6598000605877007
18,AVG.BR_INST_RETIRED.CONDITIONAL,0.6605868358445678,0.46473029045643155,0.6891850954256286
19,AVG.BR_INST_RETIRED.FAR_BRANCH,0.7023526301876817,0.8692946058091287,0.6779763707967282
20,AVG.BR_INST_RETIRED.NEAR_CALL,0.8707375099127677,1.0,0.8518630717964253
21,AVG.BR_INST_RETIRED.NEAR_RETURN,0.8823684906159133,1.0,0.8651923659497122
22,AVG.BR_INST_RETIRED.NEAR_TAKEN,0.6365318530266983,0.46265560165975106,0.6619206301120872
23,AVG.BR_INST_RETIRED.NOT_TAKEN,0.6151202749140894,0.46265560165975106,0.6373826113299
24,AVG.BR_MISP_EXEC.ALL_BRANCHES,0.9394660322495374,0.9979253112033195,0.9309300212056952
25,AVG.BR_MISP_EXEC.ALL_CONDITIONAL,0.8387523129791171,0.9896265560165975,0.8167222053923053
26,AVG.BR_MISP_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET,0.809674861221253,0.9024896265560166,0.7961223871554075
27,AVG.BR_MISP_EXEC.NONTAKEN_CONDITIONAL,0.9970922548242136,0.9937759336099585,0.9975764919721296
28,AVG.BR_MISP_EXEC.TAKEN_CONDITIONAL,0.5083267248215702,0.46473029045643155,0.5146925174189639
29,AVG.BR_MISP_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET,0.8551414221517314,0.979253112033195,0.8370190851257194
30,AVG.BR_MISP_EXEC.TAKEN_INDIRECT_NEAR_CALL,0.408406026962728,0.7427385892116183,0.35958800363526205
31,AVG.BR_MISP_EXEC.TAKEN_RETURN_NEAR,0.6219931271477663,0.9190871369294605,0.5786125416540442
32,AVG.BR_MISP_RETIRED.ALL_BRANCHES,0.7472905101771081,0.8796680497925311,0.727961223871554
33,AVG.BR_MISP_RETIRED.ALL_BRANCHES_PEBS,0.9542690985989956,0.9979253112033195,0.9478945774007876
34,AVG.BR_MISP_RETIRED.CONDITIONAL,0.9344435633095427,0.991701244813278,0.9260830051499546
35,AVG.BR_MISP_RETIRED.NEAR_TAKEN,0.6402326196140629,0.6556016597510373,0.6379884883368676
36,AVG.CPL_CYCLES.RING0,0.8855405762622257,0.9336099585062241,0.878521660102999
37,AVG.CPL_CYCLES.RING0_TRANS,0.6867565424266455,0.8360995850622407,0.6649500151469252
38,AVG.CPL_CYCLES.RING123,0.9947131905894793,0.991701244813278,0.9951529839442593
39,AVG.CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE,0.999735659529474,1.0,0.9996970614965162
40,AVG.CPU_CLK_THREAD_UNHALTED.REF_XCLK,0.9968279143536876,1.0,0.9963647379581945
41,AVG.CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY,0.9976209357652657,1.0,0.9972735534686459
42,AVG.CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,0.9822891884747554,1.0,0.9797031202665859
43,AVG.CPU_CLK_UNHALTED.REF_TSC,0.9894263811789585,0.9979253112033195,0.9881853983641321
44,AVG.CPU_CLK_UNHALTED.REF_XCLK,0.9936558287073751,0.9979253112033195,0.9930324144198728
45,AVG.CPU_CLK_UNHALTED.REF_XCLK_ANY,0.9830822098863335,0.991701244813278,0.9818236897909725
46,AVG.CPU_CLK_UNHALTED.THREAD_P,0.9960348929421095,0.9937759336099585,0.9963647379581945
47,AVG.CPU_CLK_UNHALTED.THREAD_P_ANY,0.992598466825271,0.991701244813278,0.9927294759163889
48,AVG.CYCLE_ACTIVITY.CYCLES_L1D_MISS,0.9193761564895585,1.0,0.9076037564374432
49,AVG.CYCLE_ACTIVITY.CYCLES_L1D_PENDING,0.9196404969600845,1.0,0.907906694940927
50,AVG.CYCLE_ACTIVITY.CYCLES_L2_MISS,0.9143536875495638,0.9937759336099585,0.9027567403817025
51,AVG.CYCLE_ACTIVITY.CYCLES_L2_PENDING,0.9114459423737774,0.9979253112033195,0.8988185398364132
52,AVG.CYCLE_ACTIVITY.CYCLES_LDM_PENDING,0.5310600052868094,0.5311203319502075,0.5310511966070888
53,AVG.CYCLE_ACTIVITY.CYCLES_MEM_ANY,0.8395453343906952,0.9398340248962656,0.8249015449863678
54,AVG.CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,0.9405233941316415,0.9771784232365145,0.9351711602544683
55,AVG.CYCLE_ACTIVITY.STALLS_L1D_MISS,0.9169970922548242,0.9937759336099585,0.9057861254165405
56,AVG.CYCLE_ACTIVITY.STALLS_L1D_PENDING,0.9196404969600845,1.0,0.907906694940927
57,AVG.CYCLE_ACTIVITY.STALLS_L2_MISS,0.893999471319059,0.946058091286307,0.8863980611935777
58,AVG.CYCLE_ACTIVITY.STALLS_L2_PENDING,0.8934707903780069,0.9336099585062241,0.8876098152075129
59,AVG.CYCLE_ACTIVITY.STALLS_LDM_PENDING,0.7895849854612741,0.7614107883817427,0.7936988791275371
60,AVG.CYCLE_ACTIVITY.STALLS_MEM_ANY,0.7916997092254824,0.8049792531120332,0.7897606785822479
61,AVG.CYCLE_ACTIVITY.STALLS_TOTAL,0.9275707110758658,0.970954356846473,0.9212359890942139
62,AVG.DSB2MITE_SWITCHES.COUNT,0.9947131905894793,1.0,0.9939412299303242
63,AVG.DSB2MITE_SWITCHES.PENALTY_CYCLES,0.9992069785884219,1.0,0.9990911844895486
64,AVG.DSB_FILL.EXCEED_DSB_LINES,0.37430610626486915,0.46473029045643155,0.361102696152681
65,AVG.DTLB_LOAD_MISSES.DEMAND_LD_WALK_COMPLETED,0.9175257731958762,1.0,0.9054831869130566
66,AVG.DTLB_LOAD_MISSES.DEMAND_LD_WALK_DURATION,0.7639439598202484,0.6742738589211619,0.7770372614359286
67,AVG.DTLB_LOAD_MISSES.LARGE_PAGE_WALK_COMPLETED,0.9201691779011366,1.0,0.9085125719478946
68,AVG.DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,0.8971715569653714,1.0,0.8821569221448046
69,AVG.DTLB_LOAD_MISSES.STLB_HIT,0.8374306106264869,0.9937759336099585,0.8146016358679188
70,AVG.DTLB_LOAD_MISSES.WALK_COMPLETED,0.9188474755485064,1.0,0.9069978794304756
71,AVG.DTLB_LOAD_MISSES.WALK_DURATION,0.824477927570711,0.7759336099585062,0.8315661920630112
72,AVG.DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,0.9833465503568596,1.0,0.980914874280521
73,AVG.DTLB_STORE_MISSES.STLB_HIT,0.7657943431139308,0.9585062240663901,0.7376552559830355
74,AVG.DTLB_STORE_MISSES.WALK_COMPLETED,0.9775310600052868,1.0,0.9742502272038777
75,AVG.DTLB_STORE_MISSES.WALK_DURATION,0.9764736981231826,1.0,0.9730384731899424
76,AVG.FP_ASSIST.ANY,1.0,1.0,1.0
77,AVG.FP_ASSIST.SIMD_INPUT,1.0,1.0,1.0
78,AVG.FP_ASSIST.SIMD_OUTPUT,1.0,1.0,1.0
79,AVG.FP_COMP_OPS_EXE.SSE_PACKED_DOUBLE,1.0,1.0,1.0
80,AVG.FP_COMP_OPS_EXE.SSE_PACKED_SINGLE,1.0,1.0,1.0
81,AVG.FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE,0.9415807560137457,1.0,0.9330505907300818
82,AVG.FP_COMP_OPS_EXE.SSE_SCALAR_SINGLE,0.6674596880782447,1.0,0.6189033626173887
83,AVG.FP_COMP_OPS_EXE.X87,1.0,1.0,1.0
84,AVG.ICACHE.HIT,1.0,1.0,1.0
85,AVG.ICACHE.IFETCH_STALL,0.7697594501718213,0.7095435684647303,0.7785519539533474
86,AVG.ICACHE.MISSES,0.7227068464181866,1.0,0.6822175098455013
87,AVG.IDQ.ALL_DSB_CYCLES_4_UOPS,0.9888977002379065,0.995850622406639,0.9878824598606483
88,AVG.IDQ.ALL_DSB_CYCLES_ANY_UOPS,0.9859899550621201,0.991701244813278,0.9851560133292941
89,AVG.IDQ.ALL_MITE_CYCLES_4_UOPS,1.0,1.0,1.0
90,AVG.IDQ.ALL_MITE_CYCLES_ANY_UOPS,1.0,1.0,1.0
91,AVG.IDQ.DSB_CYCLES,0.9349722442505948,0.9626556016597511,0.9309300212056952
92,AVG.IDQ.DSB_UOPS,0.9756806767116045,0.9937759336099585,0.9730384731899424
93,AVG.IDQ.EMPTY,1.0,1.0,1.0
94,AVG.IDQ.MITE_ALL_UOPS,0.9405233941316415,0.9896265560165975,0.9333535292335656
95,AVG.IDQ.MITE_CYCLES,0.9809674861221253,1.0,0.9781884277491669
96,AVG.IDQ.MITE_UOPS,0.9984139571768438,1.0,0.9981823689790973
97,AVG.IDQ.MS_CYCLES,0.9870473169442242,0.9813278008298755,0.9878824598606483
98,AVG.IDQ.MS_DSB_CYCLES,0.9899550621200106,0.9626556016597511,0.9939412299303242
99,AVG.IDQ.MS_DSB_OCCUR,0.9844039122389638,0.9398340248962656,0.9909118448954862
100,AVG.IDQ.MS_DSB_UOPS,0.9836108908273856,0.9356846473029046,0.9906089063920024
101,AVG.IDQ.MS_MITE_UOPS,0.9962992334126355,1.0,0.9957588609512269
102,AVG.IDQ.MS_SWITCHES,0.9904837430610627,0.9688796680497925,0.9936382914268403
103,AVG.IDQ.MS_UOPS,0.9865186360031721,0.979253112033195,0.9875795213571645
104,AVG.IDQ_UOPS_NOT_DELIVERED.CORE,0.8897700237906423,0.9896265560165975,0.8751893365646773
105,AVG.IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE,0.9804388051810732,1.0,0.9775825507421994
106,AVG.IDQ_UOPS_NOT_DELIVERED.CYCLES_FE_WAS_OK,0.9598202484800423,0.9979253112033195,0.9542562859739473
107,AVG.IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE,0.936293946603225,1.0,0.926991820660406
108,AVG.IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_2_UOP_DELIV.CORE,0.9442241607190061,1.0,0.9360799757649197
109,AVG.IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_3_UOP_DELIV.CORE,0.9098598995506212,0.9937759336099585,0.897606785822478
110,AVG.ILD_STALL.IQ_FULL,0.9841395717684377,0.9398340248962656,0.9906089063920024
111,AVG.ILD_STALL.LCP,1.0,1.0,1.0
112,AVG.INST_RETIRED.ANY_P,0.9468675654242664,0.9647302904564315,0.9442593153589821
113,AVG.INST_RETIRED.PREC_DIST,0.951097012952683,0.9647302904564315,0.9491063314147228
114,AVG.INT_MISC.RECOVERY_CYCLES,0.9188474755485064,0.9688796680497925,0.9115419569827325
115,AVG.INT_MISC.RECOVERY_CYCLES_ANY,0.94395982024848,1.0,0.9357770372614359
116,AVG.INT_MISC.RECOVERY_STALLS_COUNT,0.929156753899022,1.0,0.9188124810663435
